timestamp,event,mint,symbol,setup,price_usd,size_usd,fee_usd,pnl_usd,rug_verdict,movement,features,reason
2026-08-27 20:15:08,SKIP,zj1jpp7QMveWHLs61vL9KMZf254KvW7j4AAmBF8ry2k,BULLSHIT,,,,,,,,,buy_failed: Jupiter could not build a swap: Insufficient funds
2026-08-27 20:15:15,SKIP,EhCzWhMyUAo87bQ663fV2A6reLhXgdhdcf9ynJV8pump,POKEMON,,,,,,SAFE,bo:not_near_high (-26.5%); bo:window_flat (-26.5%); bo:5m_negative (-39.0%); bo:flow_weak (23/37),,setup: bo:not_near_high (-26.5%); bo:window_flat (-26.5%); bo:5m_negative (-39.0%); bo:flow_weak (23/37)
2026-08-27 20:16:11,SCREEN,DMXBsVBwfuzc5axa2vz6Ba2BzAxcUmn6V7ZtsJFEpump,TOADS,,,,,,RUG_RISK,,,RUG_RISK score=92 | hard_fail:sell_route | warn:dev_history
2026-08-27 20:16:11,SKIP,DMXBsVBwfuzc5axa2vz6Ba2BzAxcUmn6V7ZtsJFEpump,TOADS,,,,,,RUG_RISK,,,rug_screen: RUG_RISK score=92 | hard_fail:sell_route | warn:dev_history
2026-08-27 20:16:31,SCREEN,HG3sZ52NRmNpm2BueL1MSBM3krr5M6YJtQohjNyhpump,BANDOS,,,,,,SAFE,,,SAFE score=90 | warn:price_5m
2026-08-27 20:16:32,ERROR,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,,,,,,,,,sell_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:16:45,ERROR,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,,,,,,,,,sell_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:16:54,ERROR,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,,,,,,,,,sell_failed: 429 Client Error: Too Many Requests for url: https://api.jup.ag/price/v3?ids=So11111111111111111111111111111111111111112
2026-08-27 20:17:19,SELL,6ismWYLTwvzngqAzeWLhAfq1jSY2yv8hG55te1HnTw9j,MUFASA,breakout,0.0000890851,4.05,0.0011,-1.0284,,,rug_score=100;liq_usd=16757;mcap_usd=108948;vol24_usd=7.6088e+06;holders=3043;top1_pct=16.67;organic_score=75;chg5m_pct=-3.43;chg1h_pct=9.21;chg24h_pct=286.93;organic_buyers_5m=6;buys_5m=27;sells_5m=23;dev_mints=1;setup_breakout=1;setup_pullback=0;mv_return_pct=-5.438;mv_drawdown_pct=-5.438;mv_slope=-3.1074;mv_late_slope=4.4928;mv_vol_pct=2.219;mv_below_high_pct=-5.438;mv_above_low_pct=1.856;mv_holder_growth=-1.182;mv_liq_trend_pct=-3.028,hard_stop (-19%)
2026-08-27 20:17:33,SCREEN,FZqdw6oSDCbHtKYxmhnfbi97SnyVy8jaYpdCoMrrjKa2,Pistacio,,,,,,SAFE,,,SAFE score=92 | warn:dev_history
